"Date","Location","Gender","Administrative Civil Servants","An Garda Siochana","An Garda Siochana (excl. overtime)","Civil Service","Commercial Semi-State Companies","Defence","Education","Industrial Civil Servants","Local Authorities","Non-Commercial Semi-State Companies","Non-Local Authority Regional Bodies","Others in the Public Sector","Primary education","Prison Officers","Public Sector (excluding Health)","Regional Bodies","Secondary education (excl. VECs & ITs)","Semi-State Companies","Third level education (excl. VECs & ITs)","VECs and Institutes of Technology"
1988,"Not Specified","Not Specified",313.61,436.74,408.04,313.5,356.46,258.64,386.33,245.51,276.44,406.66,339.74,503,391.04,450.58,346.2,279.22,432.24,361.72,372.06,330.18
1989,"Not Specified","Not Specified",326.71,470.4,446.68,332.06,372.18,282.57,407.44,260.57,284.39,409.36,352.66,334.46,418.27,481.18,363.82,287.32,439.1,375.84,408.44,349.8
1990,"Not Specified","Not Specified",360.34,492.06,456.01,366.16,402.2,311.94,418.24,265.8,306.84,434.78,366,233.86,432.33,544.85,387.6,309.32,452.61,405.44,424.52,353.74
1991,"Not Specified","Not Specified",380,527.9,496.32,387.83,424.99,353.69,448.09,314.98,319.84,462.68,387.63,257.11,465.64,559.8,412.85,322.66,484.04,429.04,454.03,378
1992,"Not Specified","Not Specified",395.76,550.26,519.48,405.38,447.64,367.46,471.91,341.13,329.24,477.92,388.01,282.32,496.85,593.46,432.74,331.65,501.41,419.39,479.24,399.31
1993,"Not Specified","Not Specified",408.39,591.59,561.98,420.31,479.1,386.88,497.57,360.79,357.04,496.6,427.32,257.62,531.49,634.48,459.05,359.95,541.14,481.15,500.32,405.12
1994,"Not Specified","Not Specified",419.06,610.69,582.11,431.46,478.88,394.99,523.08,344.67,364.34,515.65,438.93,273.27,557.21,672.5,471.69,367.36,559.96,483.34,516.32,442.14
1995,"Not Specified","Not Specified",427.04,622.32,585.24,439.79,496.25,410.76,534.96,370.33,383.49,527.19,461.15,273.02,571.65,671.99,485.16,386.68,570,500.1,521.14,456.82
1996,"Not Specified","Not Specified",445.02,673.18,589.08,458.88,516.45,424.44,549.54,355.84,398.06,542.17,462.52,290.31,585.34,711.66,505.1,400.76,582.07,519.74,532.04,478.85
1997,"Not Specified","Not Specified",470.36,698.39,601.49,493.26,546.7,435.55,573.27,373.73,413.56,559.18,451.02,231.86,611.9,851.2,529.89,415.31,606.82,548.34,541.79,506.28
1998,"Not Specified","Not Specified",499.48,717.49,621.16,527.33,579.53,443.54,589.41,372.4,441.4,581.84,483.94,272.65,643.38,940.01,555.14,443.17,633.38,579.83,560.98,494.06
1999,"Not Specified","Not Specified",511.06,745.41,647.88,539.08,598.59,478.78,619.08,427.26,463.58,610.64,546.58,263.01,664.37,884.22,578.34,467.92,662.38,600.55,599.32,534.23
2000,"Not Specified","Not Specified",538.58,837.87,737.8,573.57,632.81,505.79,644.47,460.96,494.39,646.29,615.3,309.49,690.35,949.22,611.54,499.56,685.02,634.98,627.1,560.36
2001,"Not Specified","Not Specified",597.87,939.67,790.4,633.1,697.18,548.77,698.44,506.99,551.71,697.1,739.34,384.93,717.08,1043.98,671.78,558.9,753.21,696.99,691.84,628.28
2002,"Not Specified","Not Specified",621.87,945.21,836.57,656.19,773.45,587.96,718.93,524.22,573.46,731.9,731.04,479.81,716.88,1093.33,704.28,578.16,801.19,766.06,762.92,627.36
2003,"Not Specified","Not Specified",648.63,959.86,862.36,681.03,825.36,609.24,743.41,534.22,605.91,765.96,787.69,432.48,712.49,1106.71,734.86,608.44,848.41,814.87,799.82,669.04
2004,"Not Specified","Not Specified",724.97,1058.75,920.76,744.24,874.48,665.3,809.16,562.57,663.85,836.23,819.83,478.03,765.14,1067.6,797.09,666.34,935.58,867.67,875.26,734.46
2005,"Not Specified","Not Specified",776.24,1096.77,966.48,795.87,913.84,690.16,856.66,627.63,731.62,885.09,844.9,430.53,812.2,1117.93,844.16,734.87,970.37,908.63,907.86,801.04
2006,"Not Specified","Not Specified",819.48,1170.25,983.6,838.35,974.67,732.26,879.9,676.2,769.01,920.5,879.84,418.05,931.11,1149.12,882.02,772.25,998.67,964.7,949.21,817.71
2007,"Not Specified","Not Specified",860.35,1205.95,1003.98,877.76,1021.86,767.01,921,691,814.25,955.07,829.93,423.01,865.3,1189.67,922.46,817.55,1045.76,1008.16,1020.06,846.35
2008,"Not Specified","Not Specified",898.89,1207.24,1076.68,916.06,1066.71,808.45,946.47,742.85,833.37,1003.1,1001.89,483.56,887.17,1196.5,948.91,837.81,1078.46,1050.11,1064.7,861.78
